NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
12,0,15.27558,142.40124,56.13914,264.50080,23.17370,11.52811,0.000001477
12,1,19.71920,184.13904,65.87968,338.26994,27.86193,15.81867,0.000001080
12,2,19.46145,166.95192,69.18935,320.53544,27.94342,15.43018,0.000002163
12,3,18.58490,146.60558,56.45689,328.45726,23.40893,14.90177,0.000001517
12,4,15.20691,107.88492,49.87396,262.91783,20.89317,12.58314,0.000001298
12,5,18.00310,150.33887,62.97570,303.93492,28.52656,15.22945,0.000001169
12,6,18.07165,174.16015,65.30789,312.33205,27.13093,14.51996,0.000001039
12,7,17.83693,148.24621,62.90522,301.83417,26.12160,14.95577,0.000001261
12,8,16.12518,142.44991,57.78863,281.32658,23.73435,13.64242,0.000001768
12,9,18.12576,161.44979,58.09628,296.19041,23.94826,14.19366,0.000000791
12,10,14.22363,155.48019,54.27956,243.98479,21.79002,11.61821,0.000000910
12,11,16.58834,190.29075,67.13499,288.32542,27.31279,13.87941,0.000002403
12,12,18.76417,197.12112,66.88193,321.77104,25.65008,14.90408,0.000002209
12,13,17.66801,136.02983,55.13421,294.44971,22.01395,14.01519,0.000000970
12,14,14.38770,142.40946,57.37524,255.17398,23.73020,12.07178,0.000001728
12,15,13.32506,149.88614,52.53859,226.23131,21.58688,11.36671,0.000001385
12,16,15.78533,150.73717,63.25166,267.01019,25.76178,12.44817,0.000001555
12,17,17.75780,137.51487,64.34268,299.35061,25.40459,13.79778,0.000001953
12,18,13.73611,157.20090,62.63307,244.42723,25.68083,11.91430,0.000001423
12,19,17.83659,154.16027,61.95091,305.15046,26.09128,14.82048,0.000000783
12,20,13.79420,135.04219,52.24519,233.26014,21.01567,11.34093,0.000000814
12,21,12.82943,142.52399,58.19823,216.55520,22.80448,10.73272,0.000001320
12,22,16.66761,150.28585,52.42889,281.17718,21.96109,13.95456,0.000000664
12,23,15.82872,160.55482,58.31907,280.79534,24.15703,13.14435,0.000001886
12,24,13.64001,98.22495,42.03677,217.83970,16.86534,10.36198,0.000000703
12,25,16.95923,173.45074,57.65930,283.76741,23.05074,13.33415,0.000001569
12,26,17.08225,151.06461,56.33701,280.32902,23.91415,13.70114,0.000001581
12,27,13.45880,133.04628,52.16864,236.42488,21.11217,11.03094,0.000001465
12,28,14.43390,121.15400,52.78998,246.14996,22.31034,12.38603,0.000001080
12,29,16.73970,153.24068,52.81512,269.06252,21.97283,12.92430,0.000001484
12,30,13.97427,141.56997,52.01990,237.76869,21.73526,12.18349,0.000000941
12,31,13.90153,120.31646,52.88415,228.12783,21.20769,11.91775,0.000001066
12,32,16.01364,147.80892,58.37624,279.17946,22.91169,13.18960,0.000001418
12,33,16.90972,170.44960,65.93261,293.53125,27.72600,14.38886,0.000001939
12,34,19.83593,171.45479,65.92004,287.26355,26.46330,13.40580,0.000001292
12,35,15.78832,123.79669,54.88431,262.65038,21.70369,12.40024,0.000002544
12,36,14.73892,155.30283,52.66017,267.83443,21.45585,12.97652,0.000000496
12,37,15.39583,127.32660,46.05855,267.49932,19.08731,12.71432,0.000002113
12,38,15.05011,111.36684,44.84268,266.00884,19.35169,12.14955,0.000001686
12,39,14.61818,146.70124,60.94250,257.35980,26.28582,12.89039,0.000001799
12,40,15.62419,136.99257,65.33441,269.55486,25.48268,13.25492,0.000002493
12,41,16.25333,146.29534,63.08376,288.22231,26.38889,14.05780,0.000001828
12,42,15.88079,138.98318,57.55624,260.39359,23.88870,13.60247,0.000001363
12,43,14.54415,124.06662,58.82997,244.08710,24.19485,12.45296,0.000003541
12,44,15.65970,133.26010,63.53767,261.90300,26.00613,13.07964,0.000002060
12,45,17.42835,128.64571,57.64936,285.50368,23.68934,13.82217,0.000001587
12,46,18.08921,131.01902,64.19254,305.05695,26.03615,15.22943,0.000002391
12,47,15.81493,132.87844,55.66489,281.83931,23.64371,13.32540,0.000000630
12,48,16.81878,149.36128,62.77288,288.51576,25.88742,14.59413,0.000001248
12,49,16.11178,141.08727,63.70023,273.82325,26.35645,13.59224,0.000002399
12,50,11.77154,125.69476,46.88839,201.58686,19.49511,10.02631,0.000001283
12,51,16.56463,172.10583,64.04028,281.11934,25.53261,13.60333,0.000001641
12,52,16.80250,162.68098,64.72190,286.80166,25.71023,13.85461,0.000000874
12,53,15.12334,160.46146,62.12176,266.14037,26.00477,13.65984,0.000002579
12,54,16.36950,118.78796,52.24275,275.78573,21.09991,13.09692,0.000001417
12,55,19.15069,169.76626,55.86781,319.64980,23.45241,14.70969,0.000000930
12,56,16.27127,154.98971,57.87778,282.15845,23.68371,13.63640,0.000001460
12,57,10.45267,138.27675,51.28194,188.62393,21.48559,9.29877,0.000000689
12,58,17.46036,139.97940,57.18720,299.36496,23.84080,14.81760,0.000000772
12,59,18.15209,133.91745,52.99512,300.18788,21.63651,14.66877,0.000001216
12,60,17.08733,157.47799,57.79534,276.59646,24.73774,14.16436,0.000001625
12,61,15.59006,97.20425,48.85562,251.08482,18.98164,12.12163,0.000001156
12,62,16.13712,155.78502,63.19385,273.76969,25.82799,13.52814,0.000002626
12,63,13.97614,121.07038,52.32477,242.88252,21.41684,11.36778,0.000000679
12,64,18.83236,156.93104,64.53130,310.65762,25.92503,15.05088,0.000002238
12,65,15.54231,176.85393,63.45069,261.89715,26.13656,13.24023,0.000001327
12,66,17.58207,159.65142,62.53693,297.75738,25.44542,14.89321,0.000000954
12,67,16.29791,133.41302,62.70835,288.26916,25.95698,13.69602,0.000003996
12,68,14.85396,149.19469,57.59828,248.83287,23.52381,13.27051,0.000002126
12,69,17.61061,168.26944,63.12060,297.75982,25.69633,14.24664,0.000001879
12,70,18.30446,148.94924,57.98892,304.13013,23.61979,14.44950,0.000001223
12,71,13.54838,146.36054,59.51818,245.24043,24.21030,11.69206,0.000000891
12,72,16.27962,158.03761,56.48471,274.37109,23.48246,13.38545,0.000000635
12,73,14.26540,149.78933,64.41186,249.91010,25.69504,12.62893,0.000001421
12,74,13.62268,124.14357,53.62651,240.53717,22.45615,11.49873,0.000001839
12,75,16.08136,143.39065,56.26843,279.14000,23.62418,13.14546,0.000001183
12,76,15.48655,131.52689,58.91692,265.07782,25.30534,13.41489,0.000001398
12,77,17.53986,164.48073,60.66131,303.08232,23.78757,13.94866,0.000000920
12,78,15.99037,137.60136,59.24933,277.45194,23.91114,13.01772,0.000001573
12,79,14.22445,135.79872,58.95869,240.94615,23.53172,12.23734,0.000000989
12,80,18.30622,152.38370,56.74561,293.60822,23.52722,14.21057,0.000001398
12,81,15.83899,151.80582,52.61626,270.52255,21.12993,13.14729,0.000001228
12,82,15.43850,127.88138,51.54209,257.37263,21.16115,12.15801,0.000001961
12,83,17.56418,148.78329,59.11253,290.78407,23.60805,13.79663,0.000001542
12,84,13.98003,147.61867,61.94558,245.44744,26.02949,12.15806,0.000000740
12,85,17.25226,142.36420,57.34131,291.71622,24.29522,14.27593,0.000002473
12,86,13.43250,112.42503,47.07773,220.44569,19.14972,10.92225,0.000000794
12,87,16.63921,156.60833,63.63443,285.00538,26.69706,13.78733,0.000001163
12,88,17.07338,174.64545,64.48097,291.52343,26.67539,14.61070,0.000001272
12,89,16.85968,167.15907,65.95550,279.01424,26.02325,13.97384,0.000002791
12,90,16.23136,159.87971,64.49563,278.43527,25.80525,13.69024,0.000001859
12,91,15.72984,163.05265,57.77273,274.16572,23.77289,13.19526,0.000001503
12,92,17.20094,180.04652,64.00581,301.60673,26.01021,14.25328,0.000002097
12,93,10.82847,104.85004,42.52202,178.82226,17.04291,8.78708,0.000000759
12,94,17.03087,151.25106,58.06361,301.60249,24.28193,14.00622,0.000001367
12,95,14.60575,158.74902,57.88221,246.74406,24.73717,12.45475,0.000000964
12,96,15.07726,141.85129,63.72386,261.92392,25.52407,12.45762,0.000001210
12,97,13.01549,147.25093,58.36105,216.42507,23.43864,10.76049,0.000001227
12,98,16.68489,148.69721,53.65776,280.17429,21.68032,13.29125,0.000002054
